scale	type	name	value
europe	design	run_ifcalcsla	1
europe	design	run_ifcalccton	1
europe	design	run_iffire	1
europe	design	run_npatch	1
europe	design	run_patcharea	1000
europe	design	run_estinterval	1
europe	design	run_ifdisturb	1
europe	design	run_distinterval	100
europe	design	run_ifbgestab	1
europe	design	run_ifsme	1
europe	design	run_ifstochestab	1
europe	design	run_ifstochmort	1
europe	design	run_ifcdebt	1
europe	design	run_wateruptake	rootdist
europe	design	run_ifcentury	1
europe	design	run_ifnlim	0
europe	design	run_freenyears	100
europe	parameter	run_nfix_a	0.102
europe	parameter	run_nfix_b	0.524
europe	parameter	run_nrelocfrac	0.5
europe	design	run_state_year	500
europe	design	run_restart	0
europe	design	run_save_state	0
europe	design	run_state_path	
europe	design	run_ifsmoothgreffmort	1
europe	design	run_ifdroughtlimitedestab	1
europe	design	run_ifrainonwetdaysonly	1
europe	design	run_ifbvoc	0
europe	design	run_run_landcover	0
europe	design	run_run_urban	0
europe	design	run_run_crop	1
europe	design	run_run_forest	0
europe	design	run_run_pasture	0
europe	design	run_run_natural	0
europe	design	run_run_peatland	1
europe	design	run_lcfrac_fixed	0
europe	design	run_lc_fixed_urban	0
europe	design	run_lc_fixed_cropland	50
europe	design	run_lc_fixed_pasture	0
europe	design	run_lc_fixed_forest	0
europe	design	run_lc_fixed_natural	25
europe	design	run_lc_fixed_peatland	25
europe	design	run_equal_landcover_area	0
europe	parameter	common_lambda_max	0.8
europe	parameter	common_emax	5
europe	parameter	common_reprfrac	0.1
europe	parameter	common_wscal_min	0.35
europe	parameter	common_drought_tolerance	0.0001
europe	parameter	common_landcover	natural
europe	parameter	common_turnover_harv_prod	1
europe	parameter	tree_rootdist	0.6 0.4
europe	parameter	tree_crownarea_max	40
europe	parameter	tree_turnover_root	0.7
europe	parameter	tree_ltor_max	1
europe	parameter	tree_k_allom2	40
europe	parameter	tree_k_allom3	0.67
europe	parameter	tree_k_rp	1.6
europe	parameter	tree_wooddens	200
europe	parameter	tree_cton_root	29
europe	parameter	tree_cton_sap	330
europe	parameter	tree_nuptoroot	0.0028
europe	parameter	tree_km_volume	0.000001477
europe	parameter	tree_kest_repr	200
europe	parameter	tree_kest_bg	0.1
europe	parameter	tree_kest_pres	1
europe	parameter	tree_litterme	0.3
europe	parameter	tree_harv_eff	0.7
europe	parameter	tree_res_outtake	0.75
europe	parameter	tree_harvest_slow_frac	0.33
europe	parameter	tree_turnover_harv_prod	0.04
europe	parameter	shrub_rootdist	0.6 0.4
europe	parameter	shrub_crownarea_max	10
europe	parameter	shrub_turnover_root	0.7
europe	parameter	shrub_ltor_max	1
europe	parameter	shrub_k_allom1	100
europe	parameter	shrub_k_allom2	5
europe	parameter	shrub_k_allom3	0.67
europe	parameter	shrub_k_rp	1.6
europe	parameter	shrub_wooddens	250
europe	parameter	shrub_cton_root	29
europe	parameter	shrub_cton_sap	330
europe	parameter	shrub_nuptoroot	0.0028
europe	parameter	shrub_km_volume	0.000001477
europe	parameter	shrub_fnstorage	0.3
europe	parameter	shrub_kest_repr	200
europe	parameter	shrub_kest_bg	0.1
europe	parameter	shrub_kest_pres	1
europe	parameter	shrub_litterme	0.3
europe	parameter	shrub_longevity	100
europe	parameter	needlelleaf_k_allom1	150
europe	parameter	needlelleaf_k_latosa	4000
europe	parameter	needlelleaf_ga	0.14
europe	parameter	broadleaf_k_allom1	250
europe	parameter	broadleaf_k_latosa	5000
europe	parameter	broadleaf_leaflong	0.5
europe	parameter	broadleaf_turnover_leaf	1
europe	parameter	broadleaf_ga	0.04
europe	parameter	grass_ltor_max	0.5
europe	parameter	grass_cton_root	29
europe	parameter	grass_nuptoroot	0.00551
europe	parameter	grass_km_volume	0.000001876
europe	parameter	grass_fnstorage	0.3
europe	parameter	grass_respcoeff	1
europe	parameter	grass_litterme	0.2
europe	parameter	grass_ga	0.03
europe	parameter	IntShTol_est_max	0.15
europe	parameter	IntShTol_parff_min	2000000
europe	parameter	IntShTol_alphar	7
europe	parameter	IntShTol_greff_min	0.06
europe	parameter	IntShTol_turnover_sap	0.075
europe	parameter	ShTol_est_max	0.05
europe	parameter	ShTol_parff_min	350000
europe	parameter	ShTol_alphar	3
europe	parameter	ShTol_greff_min	0.04
europe	parameter	ShTol_turnover_sap	0.05
europe	parameter	ShIntol_est_max	0.2
europe	parameter	ShIntol_parff_min	2500000
europe	parameter	ShIntol_alphar	10
europe	parameter	ShIntol_greff_min	0.08
europe	parameter	ShIntol_turnover_sap	0.1
europe	parameter	boreal_respcoeff	1
europe	parameter	boreal_pstemp_min	-4
europe	parameter	boreal_pstemp_low	10
europe	parameter	boreal_pstemp_high	25
europe	parameter	boreal_pstemp_max	38
europe	parameter	temperate_respcoeff	1
europe	parameter	temperate_pstemp_min	-2
europe	parameter	temperate_pstemp_low	15
europe	parameter	temperate_pstemp_high	25
europe	parameter	temperate_pstemp_max	38
europe	parameter	Abi_alb_include	1
europe	parameter	Abi_alb_sla	9.3
europe	parameter	Abi_alb_gmin	0.3
