PFT	LPJ_Parameter_name	Rlpj_Parameter_name	Default_value
TrBR	eps_mon	TrBR_eps_mon	2.4
TrBR	storfrac_mon	TrBR_storfrac_mon	0.
C3G	respcoeff	C3G_respcoeff	1.0
C3G	pstemp_min	C3G_pstemp_min	-5
C3G	pstemp_low	C3G_pstemp_low	10
C3G	pstemp_high	C3G_pstemp_high	30
C3G	pstemp_max	C3G_pstemp_max	45
C3G	tcmin_surv	C3G_tcmin_surv	-1000
C3G	tcmin_est	C3G_tcmin_est	-1000
C3G	tcmax_est	C3G_tcmax_est	1000
C3G	twmin_est	C3G_twmin_est	-1000
C3G	gdd5min_est	C3G_gdd5min_est	0
C3G	eps_iso	C3G_eps_iso	16.0
C3G	seas_iso	C3G_seas_iso	1
C3G	eps_mon	C3G_eps_mon	1.6
C3G	storfrac_mon	C3G_storfrac_mon	0.5
C4G	respcoeff	C4G_respcoeff	0.15
C4G	pstemp_min	C4G_pstemp_min	6
C4G	pstemp_low	C4G_pstemp_low	20
C4G	pstemp_high	C4G_pstemp_high	45
C4G	pstemp_max	C4G_pstemp_max	55
C4G	tcmin_surv	C4G_tcmin_surv	15.5
C4G	tcmin_est	C4G_tcmin_est	15.5
C4G	tcmax_est	C4G_tcmax_est	1000
C4G	twmin_est	C4G_twmin_est	-1000
C4G	gdd5min_est	C4G_gdd5min_est	0
C4G	eps_iso	C4G_eps_iso	8.0
C4G	seas_iso	C4G_seas_iso	0
C4G	eps_mon	C4G_eps_mon	2.4
C4G	storfrac_mon	C4G_storfrac_mon	0.5
